study_hours,attendance,previous_scores,assignments_completed,sleep_hours,extracurricular,parental_support,internet_access,final_score,pass_fail
0.0,74.4,72.4,72.3,4.8,1,1,1,40.9,Pass
1.4,85.2,64.4,78.6,5.5,0,0,0,43.8,Pass
1.0,70.6,32.1,68.4,9.1,0,1,1,37.8,Fail
0.0,86.1,34.7,87.5,6.6,0,2,1,42.0,Pass
2.6,86.6,66.9,85.4,5.0,1,1,1,52.8,Pass
5.5,45.0,59.6,63.7,6.0,0,1,1,41.3,Pass
3.4,94.3,48.4,98.0,4.1,0,0,0,59.8,Pass
4.4,43.4,66.0,81.5,5.0,1,1,1,45.6,Pass
6.2,72.6,66.7,54.1,8.5,1,1,1,61.8,Pass
6.7,92.3,79.2,79.2,6.3,1,0,1,65.3,Pass
3.9,76.2,67.0,84.2,9.3,0,2,1,58.5,Pass
6.7,62.4,83.4,94.6,6.4,0,1,1,64.9,Pass
4.2,66.9,65.1,74.9,6.4,1,1,1,47.1,Pass
2.3,92.3,63.3,92.4,7.5,1,2,1,57.6,Pass
2.8,56.9,81.0,82.8,3.0,1,1,1,59.1,Pass
1.0,93.5,50.3,60.3,6.8,0,2,1,46.5,Pass
2.2,79.3,100.0,58.8,6.4,0,1,1,58.3,Pass
3.3,65.7,70.6,96.8,8.7,1,1,0,57.1,Pass
5.6,73.0,70.7,97.9,7.9,1,1,1,62.3,Pass
7.4,67.8,72.9,84.8,4.8,0,0,1,61.3,Pass
1.2,90.4,93.2,100.0,8.4,1,1,1,62.4,Pass
4.8,88.8,76.9,95.8,6.1,1,0,1,66.1,Pass
1.9,59.4,40.9,90.3,5.1,0,0,1,33.9,Fail
4.9,75.2,86.1,66.3,6.8,0,1,1,58.6,Pass
3.7,69.6,59.9,100.0,6.2,1,2,1,53.2,Pass
0.3,95.5,66.6,88.0,8.8,0,0,1,48.8,Pass
5.9,63.8,45.8,74.2,7.0,1,2,1,57.6,Pass
2.8,99.3,72.9,70.0,6.8,1,2,1,53.1,Pass
2.9,79.6,55.2,83.9,7.9,0,2,0,43.9,Pass
1.9,66.1,66.5,54.9,8.1,1,2,1,48.2,Pass
2.7,71.9,60.7,90.5,7.7,0,2,1,43.9,Pass
4.9,70.4,93.9,65.7,8.6,0,1,1,48.4,Pass
3.6,64.7,94.7,85.6,7.4,1,1,1,61.8,Pass
4.7,81.1,65.7,72.2,6.8,1,2,0,56.3,Pass
4.7,65.3,66.0,76.0,8.4,0,1,1,54.9,Pass
6.6,53.8,59.4,68.6,6.4,1,2,1,50.2,Pass
3.3,75.4,81.6,77.6,6.5,1,2,1,48.6,Pass
1.0,58.4,60.1,100.0,9.1,1,1,1,39.8,Fail
6.1,71.0,58.7,100.0,8.9,1,1,1,58.3,Pass
3.3,69.1,79.7,85.3,6.5,0,1,1,47.6,Pass
6.2,69.5,56.9,79.6,5.8,0,0,1,55.9,Pass
4.8,100.0,64.4,92.7,8.7,1,1,1,60.6,Pass
3.7,80.7,41.3,96.9,7.7,0,2,1,53.3,Pass
4.7,82.9,75.6,67.6,7.0,1,1,1,57.8,Pass
7.9,58.7,94.1,78.8,6.0,0,1,1,65.6,Pass
8.2,72.2,75.8,52.7,7.0,0,2,1,62.9,Pass
4.1,82.6,86.9,96.8,6.5,0,0,1,59.5,Pass
4.3,67.7,52.3,100.0,5.5,0,2,1,53.8,Pass
6.2,90.9,68.5,81.2,6.7,0,0,0,62.5,Pass
2.3,65.6,50.9,48.1,6.9,1,2,0,28.2,Fail
4.7,76.6,61.6,89.1,5.9,1,1,1,59.0,Pass
3.9,73.0,76.6,66.4,7.9,0,1,0,53.5,Pass
4.6,82.0,66.5,70.0,8.4,0,1,0,57.7,Pass
2.3,72.3,43.8,89.4,8.0,1,1,0,39.9,Fail
0.8,76.7,45.3,83.8,6.1,0,1,1,41.2,Pass
0.0,77.2,44.3,72.7,7.6,0,2,0,34.4,Fail
1.8,71.2,72.4,70.3,6.6,0,2,0,51.2,Pass
3.1,85.8,96.0,81.9,4.6,1,0,1,52.1,Pass
3.4,82.9,85.4,73.9,7.5,1,1,1,52.6,Pass
7.9,78.9,36.6,63.4,6.7,1,2,1,58.1,Pass
6.2,74.8,86.3,75.0,10.0,1,2,0,59.8,Pass
2.1,89.6,79.0,85.1,8.7,1,1,1,51.8,Pass
4.7,77.2,41.8,77.3,7.6,0,0,1,54.2,Pass
3.2,76.3,60.5,58.8,6.9,0,2,1,52.8,Pass
3.4,81.3,81.4,94.8,6.7,0,1,1,62.3,Pass
4.4,100.0,73.3,38.9,5.0,0,1,1,58.7,Pass
5.2,63.9,45.4,73.3,3.9,1,2,1,47.6,Pass
3.3,89.2,74.2,70.7,5.2,0,1,1,53.7,Pass
6.1,57.3,32.9,82.2,6.4,0,2,1,45.1,Pass
1.7,82.6,61.7,88.4,3.3,0,0,1,49.6,Pass
4.0,98.9,82.1,96.9,5.7,1,2,1,62.4,Pass
9.2,85.9,65.3,69.3,6.1,1,2,0,63.9,Pass
4.4,82.0,57.5,88.8,6.2,1,2,1,59.3,Pass
6.9,73.3,78.3,82.9,5.5,0,2,1,68.4,Pass
4.2,80.4,79.6,54.3,6.0,0,2,1,56.1,Pass
5.2,77.0,84.7,100.0,9.1,1,1,0,72.7,Pass
3.9,70.6,78.1,58.4,7.5,1,2,1,48.9,Pass
3.7,76.5,81.2,86.3,5.7,1,2,1,48.3,Pass
2.4,82.4,76.0,85.8,6.4,0,1,1,57.7,Pass
4.9,70.8,69.0,84.1,6.5,0,1,1,51.5,Pass
2.3,70.3,66.3,72.6,5.3,1,0,1,45.4,Pass
5.3,63.7,61.4,92.4,5.3,1,1,1,45.9,Pass
6.2,84.7,46.8,56.6,8.0,1,2,1,49.7,Pass
4.7,86.5,50.7,79.0,5.9,0,1,1,46.5,Pass
3.4,82.8,60.8,71.5,4.9,0,1,1,48.7,Pass
4.9,91.6,68.6,69.8,6.4,0,1,1,55.9,Pass
3.4,81.1,86.6,86.4,6.7,1,0,0,58.2,Pass
5.9,84.7,64.4,96.2,3.5,0,2,1,67.7,Pass
0.3,83.6,80.1,74.9,6.4,0,1,1,52.3,Pass
3.3,78.9,81.2,91.7,7.8,0,0,0,48.6,Pass
0.0,73.6,61.5,80.7,7.2,1,0,1,46.2,Pass
1.0,100.0,73.9,66.6,9.8,0,2,1,53.6,Pass
6.7,74.6,61.3,76.1,8.4,0,2,1,58.3,Pass
5.8,72.0,84.8,75.5,8.7,1,0,1,59.9,Pass
2.6,85.2,74.5,69.6,10.0,1,0,1,54.0,Pass
1.0,83.0,47.1,86.4,7.6,1,1,1,42.6,Pass
0.0,63.1,67.4,83.5,6.7,1,0,0,41.1,Pass
2.9,93.5,89.7,56.1,8.0,0,2,1,62.9,Pass
8.8,78.9,62.3,55.2,5.7,1,0,1,56.5,Pass
4.9,66.7,71.7,86.4,6.7,1,1,1,50.7,Pass
2.9,94.3,73.2,67.8,5.5,0,1,1,54.0,Pass
4.9,87.5,49.5,84.5,7.1,1,1,0,50.0,Pass
0.9,64.8,72.7,91.7,5.5,0,1,1,38.2,Fail
3.4,100.0,44.1,60.9,5.5,0,0,1,47.5,Pass
4.2,87.9,55.6,58.8,7.1,0,1,0,58.3,Pass
3.8,79.9,81.1,100.0,6.3,0,0,1,59.1,Pass
5.6,99.1,70.4,85.3,3.6,1,0,0,63.4,Pass
4.7,81.9,60.4,73.7,4.3,0,2,1,43.6,Pass
5.3,79.7,71.7,66.0,4.8,1,1,1,58.4,Pass
2.6,72.1,64.1,72.3,5.2,0,1,0,47.8,Pass
5.8,87.0,65.2,62.1,7.1,0,0,1,53.2,Pass
7.3,85.7,74.9,93.3,6.8,0,2,1,68.2,Pass
2.1,80.2,54.1,68.3,8.1,0,2,1,47.7,Pass
2.2,70.5,65.6,96.4,7.6,1,2,1,46.6,Pass
6.7,81.6,60.3,74.0,8.1,1,1,0,60.7,Pass
3.6,79.2,41.2,64.3,7.4,0,2,1,52.8,Pass
6.8,64.0,51.2,73.6,6.8,1,1,1,52.5,Pass
3.1,62.3,88.5,40.6,8.1,1,2,1,44.1,Pass
6.9,86.8,70.8,78.2,7.9,1,2,0,63.1,Pass
4.3,48.8,45.1,77.4,7.1,0,0,1,47.3,Pass
4.5,82.5,41.9,92.4,8.4,0,1,0,47.1,Pass
7.1,74.3,63.3,51.7,3.0,1,1,1,57.7,Pass
3.3,95.7,88.4,97.4,6.1,1,0,1,59.5,Pass
2.1,74.1,62.2,92.3,6.0,0,2,1,51.5,Pass
3.1,87.9,84.6,98.8,8.2,1,0,1,58.0,Pass
4.9,75.2,70.3,79.2,8.9,0,2,1,54.4,Pass
0.9,81.4,72.1,95.2,4.3,1,2,1,59.1,Pass
5.3,88.8,45.0,57.9,8.6,0,1,0,44.8,Pass
2.9,74.4,79.1,90.7,4.7,1,1,1,57.3,Pass
6.3,92.0,60.0,68.4,4.8,0,1,0,67.0,Pass
0.0,68.1,77.9,55.2,6.1,0,2,1,45.3,Pass
2.4,83.5,52.8,63.1,6.0,1,1,1,40.0,Pass
0.6,91.1,67.7,80.1,4.2,0,1,1,42.5,Pass
2.3,87.9,70.3,67.6,7.5,1,1,1,48.2,Pass
4.5,100.0,62.7,85.6,7.5,1,2,1,62.0,Pass
3.6,70.8,71.1,52.9,8.1,0,1,0,49.6,Pass
3.5,63.5,61.0,48.1,5.8,0,1,1,37.2,Fail
3.7,68.1,55.3,100.0,6.4,1,2,0,48.1,Pass
4.4,87.9,89.1,93.6,6.5,1,0,1,59.3,Pass
2.0,86.0,80.7,64.3,9.0,1,0,1,51.2,Pass
5.4,81.2,53.6,80.0,3.0,0,1,1,64.3,Pass
5.3,66.5,73.5,95.3,5.1,1,0,1,52.9,Pass
4.8,89.2,53.9,86.3,6.5,0,0,1,51.1,Pass
5.1,65.3,47.2,82.2,4.9,1,1,1,44.5,Pass
4.6,93.9,80.5,96.4,6.1,0,1,0,66.8,Pass
8.1,100.0,39.4,69.0,6.3,0,1,1,60.6,Pass
3.8,84.4,78.9,80.5,5.5,1,1,0,52.9,Pass
3.4,87.0,61.2,79.7,6.6,1,1,1,52.1,Pass
2.5,74.1,61.8,75.9,7.4,0,1,1,44.4,Pass
1.9,58.3,71.1,74.2,6.1,1,2,1,47.4,Pass
1.5,72.8,73.7,81.1,5.8,0,2,1,62.7,Pass
2.2,66.9,52.6,80.5,6.3,0,1,1,47.5,Pass
3.9,62.6,75.8,64.3,6.5,0,2,1,49.9,Pass
4.7,100.0,66.7,92.0,3.9,0,2,1,58.7,Pass
4.1,83.3,46.2,65.4,7.2,0,0,1,41.9,Pass
2.5,84.6,62.5,76.7,5.8,0,2,1,54.8,Pass
5.8,76.3,85.7,75.6,8.4,0,2,1,65.3,Pass
5.5,77.9,90.1,85.4,7.4,1,1,1,61.1,Pass
3.7,91.6,75.8,48.2,8.3,1,0,1,59.6,Pass
2.7,79.6,47.1,93.4,5.0,1,1,1,49.6,Pass
5.1,86.4,72.4,69.8,5.9,0,1,0,61.3,Pass
4.4,77.6,77.8,98.3,4.6,1,2,1,61.7,Pass
1.1,75.9,75.9,72.8,5.4,0,1,1,46.6,Pass
3.9,63.1,76.8,79.3,8.4,1,0,1,47.8,Pass
4.5,56.3,70.4,100.0,8.7,1,1,1,54.4,Pass
2.2,76.9,63.9,75.8,4.8,0,2,1,52.9,Pass
4.4,80.7,55.9,98.6,5.8,0,0,1,52.7,Pass
1.1,64.6,36.5,80.6,6.4,1,2,1,41.7,Pass
6.7,79.6,70.1,86.2,7.4,1,1,1,57.1,Pass
6.5,80.6,67.8,81.0,3.9,1,1,0,63.9,Pass
3.5,54.1,73.4,92.7,4.1,1,1,0,51.9,Pass
4.7,69.0,44.9,69.7,7.2,1,1,1,42.3,Pass
0.0,84.9,74.7,65.2,3.6,0,1,1,44.1,Pass
1.7,84.6,95.8,70.4,5.8,1,1,0,59.2,Pass
3.4,66.2,66.2,81.5,6.7,0,0,1,43.3,Pass
1.9,81.9,64.1,76.7,7.1,0,1,1,43.8,Pass
5.4,92.3,69.6,90.7,6.3,0,2,1,62.7,Pass
8.0,89.3,95.5,99.6,6.0,1,2,1,85.6,Pass
1.6,78.9,49.6,65.4,7.8,1,1,1,40.6,Pass
2.3,74.4,68.0,69.0,6.9,0,2,0,50.9,Pass
4.5,72.4,53.0,58.5,5.5,0,0,1,48.3,Pass
7.2,85.6,56.8,100.0,6.6,0,0,0,60.1,Pass
1.6,82.3,64.3,84.6,7.1,1,1,0,50.7,Pass
4.5,87.6,85.2,87.2,9.1,1,1,1,60.8,Pass
7.6,81.6,92.0,59.9,7.7,0,2,1,64.1,Pass
0.7,89.8,71.7,80.0,8.3,0,0,0,41.4,Pass
1.4,81.1,59.4,87.6,5.6,1,1,1,48.7,Pass
3.2,89.4,100.0,76.2,5.7,0,1,1,65.0,Pass
3.0,90.4,58.6,96.1,6.1,0,1,0,55.1,Pass
5.6,70.3,56.4,100.0,6.3,0,1,1,62.3,Pass
4.5,58.3,38.4,65.8,5.0,0,1,1,45.5,Pass
0.5,98.5,85.9,64.7,8.4,0,1,1,52.3,Pass
5.0,83.1,79.5,66.8,7.8,1,1,1,55.6,Pass
2.8,59.4,100.0,100.0,6.0,0,1,1,54.4,Pass
6.5,71.4,44.2,95.6,7.5,0,2,1,49.6,Pass
2.7,89.3,86.9,78.0,6.8,1,1,1,56.5,Pass
2.7,76.6,66.1,80.5,7.6,1,0,1,51.6,Pass
5.1,73.9,77.1,67.8,4.5,0,0,1,63.2,Pass
5.5,96.8,40.3,93.4,6.3,0,0,1,60.2,Pass
4.9,67.4,87.0,74.3,6.4,1,0,1,52.3,Pass
0.6,70.4,76.8,76.1,7.4,0,1,1,39.2,Fail
5.1,82.5,64.4,89.1,5.6,1,0,1,56.8,Pass
1.9,84.7,74.7,77.2,3.0,0,1,1,55.2,Pass
4.5,86.0,53.5,76.5,4.9,0,0,1,51.5,Pass
1.2,90.9,56.3,80.2,6.4,0,1,1,51.1,Pass
4.9,82.4,58.0,91.9,6.6,1,0,1,55.9,Pass
2.4,85.9,37.2,100.0,9.0,0,1,1,53.4,Pass
1.4,76.9,77.9,88.8,7.4,0,1,1,43.8,Pass
5.4,80.8,82.9,92.0,6.6,0,2,1,71.5,Pass
4.5,81.3,54.5,77.0,6.5,1,1,1,47.7,Pass
2.8,82.6,70.2,69.4,8.2,0,2,1,56.3,Pass
6.9,89.3,61.0,89.8,5.6,1,1,1,62.1,Pass
3.1,86.7,69.9,82.6,6.3,1,0,1,54.1,Pass
4.1,80.5,55.6,58.7,4.9,0,1,0,47.3,Pass
4.5,70.3,51.7,75.1,8.6,1,2,1,52.6,Pass
2.8,80.8,80.8,78.8,7.1,1,1,1,57.3,Pass
4.9,79.7,64.0,72.3,5.4,0,1,1,59.8,Pass
2.9,82.3,95.3,100.0,6.3,0,1,1,68.3,Pass
3.2,100.0,65.7,87.2,7.3,0,0,1,59.1,Pass
6.7,73.7,51.1,100.0,6.1,0,2,0,67.8,Pass
1.9,85.1,83.4,84.0,5.7,0,0,1,54.5,Pass
0.0,92.8,74.5,81.2,5.5,1,0,1,55.0,Pass
7.2,81.2,75.9,66.0,7.0,1,0,0,63.4,Pass
9.1,100.0,82.9,80.2,6.0,0,1,1,70.6,Pass
3.2,75.5,55.2,80.2,5.8,0,2,1,50.7,Pass
0.1,83.9,63.1,59.5,4.5,0,2,1,45.4,Pass
3.4,70.4,62.4,71.9,6.6,0,2,1,49.3,Pass
3.4,75.8,45.6,75.2,6.2,0,1,1,49.3,Pass
3.6,83.0,61.0,86.2,6.0,1,1,1,58.6,Pass
1.8,90.2,85.0,86.9,6.8,1,1,0,56.4,Pass
5.2,83.8,68.6,71.3,7.6,0,0,1,41.9,Pass
5.0,95.1,44.8,87.0,7.6,1,2,1,66.4,Pass
1.0,78.9,41.7,77.3,7.3,1,1,0,40.9,Pass
5.4,76.0,90.0,37.0,6.1,1,1,1,51.1,Pass
8.1,100.0,63.6,72.7,5.6,0,1,1,60.5,Pass
4.3,84.7,55.3,96.2,4.9,0,2,1,54.9,Pass
3.3,71.4,60.9,54.8,5.6,1,1,1,43.4,Pass
3.7,71.7,42.8,81.7,6.5,0,2,1,44.4,Pass
5.2,68.7,86.3,100.0,5.3,1,2,1,58.9,Pass
0.5,91.2,59.1,68.6,6.6,0,2,0,48.9,Pass
4.3,75.6,85.5,80.0,5.1,1,0,0,67.3,Pass
3.2,81.5,65.8,60.4,4.0,1,0,1,53.2,Pass
7.7,79.2,86.4,100.0,7.7,0,1,1,75.4,Pass
3.7,88.8,68.9,78.8,5.8,0,2,1,54.4,Pass
7.3,69.8,77.8,80.7,5.2,1,2,1,63.2,Pass
1.8,67.1,75.8,100.0,4.9,0,1,1,53.2,Pass
5.2,82.7,74.3,89.9,7.1,1,1,1,57.9,Pass
4.6,87.2,70.2,66.9,8.6,1,0,1,54.4,Pass
2.3,84.0,61.5,70.3,5.9,0,1,1,53.0,Pass
4.4,70.3,93.7,87.4,6.2,1,1,1,65.4,Pass
6.4,88.1,51.4,70.6,8.1,0,1,1,57.9,Pass
3.4,71.1,65.1,48.2,3.8,1,2,1,40.3,Pass
0.6,73.7,65.2,79.2,9.5,0,1,0,44.0,Pass
4.0,68.7,71.0,57.8,10.0,0,1,1,43.1,Pass
2.2,95.6,58.6,100.0,3.0,0,0,1,54.1,Pass
3.3,87.6,69.7,82.7,6.4,1,1,0,56.9,Pass
3.8,87.3,62.5,66.4,5.4,1,1,1,51.6,Pass
0.6,95.0,41.3,69.5,6.1,1,1,0,44.6,Pass
0.8,100.0,65.1,51.7,5.9,0,0,0,48.1,Pass
5.0,59.5,48.5,63.5,7.7,0,0,1,46.9,Pass
3.0,71.1,39.0,95.2,6.3,1,0,1,40.6,Pass
0.0,72.6,67.1,100.0,5.1,1,1,1,45.7,Pass
5.6,69.8,72.3,90.9,6.2,0,1,1,60.4,Pass
4.5,67.1,72.9,78.6,7.3,1,1,1,62.3,Pass
2.6,76.4,73.5,73.5,4.7,0,1,0,48.7,Pass
1.4,65.4,36.0,65.7,4.0,0,0,1,38.6,Fail
5.7,84.0,44.6,100.0,9.5,1,1,1,63.2,Pass
4.7,80.6,94.6,77.2,5.5,0,0,1,59.5,Pass
8.8,85.8,49.3,100.0,6.3,0,2,1,72.2,Pass
4.8,86.1,74.2,100.0,5.9,1,0,1,67.8,Pass
4.8,87.2,54.7,53.9,7.3,1,1,1,58.9,Pass
3.7,75.5,66.2,70.0,9.2,0,0,1,53.4,Pass
5.6,100.0,55.5,70.0,7.4,1,2,1,71.8,Pass
5.3,82.8,73.4,78.8,4.2,0,0,1,54.8,Pass
6.5,57.7,67.1,79.1,4.4,0,2,1,65.8,Pass
3.0,68.0,58.3,100.0,5.9,0,0,1,53.9,Pass
3.1,59.1,49.2,63.8,6.1,0,2,1,49.2,Pass
3.0,80.2,69.0,83.4,3.9,0,1,0,50.8,Pass
5.6,78.5,46.8,89.2,7.7,0,1,1,59.6,Pass
7.0,74.4,71.4,80.0,4.9,1,1,0,67.7,Pass
3.1,100.0,100.0,81.7,8.7,1,1,0,58.9,Pass
3.2,86.6,85.3,64.3,9.2,1,2,1,56.2,Pass
4.6,88.7,75.8,81.6,6.1,1,2,1,50.0,Pass
3.5,68.8,63.7,87.7,7.2,0,0,1,50.1,Pass
5.9,68.0,35.9,84.9,4.7,0,1,1,46.1,Pass
0.0,80.4,45.2,88.6,7.4,0,1,1,41.7,Pass
2.3,82.1,84.2,100.0,5.8,1,0,1,71.9,Pass
2.4,57.7,53.2,94.1,4.9,0,1,1,53.6,Pass
0.0,77.8,54.5,81.1,6.1,0,1,1,35.4,Fail
2.1,80.2,62.5,62.4,5.8,0,1,1,49.3,Pass
2.2,77.4,49.1,71.0,6.0,0,2,1,49.4,Pass
3.6,70.2,46.6,76.7,7.9,1,2,0,46.2,Pass
6.2,73.5,64.2,83.8,5.3,1,2,1,59.7,Pass
3.5,77.9,51.6,72.8,9.1,0,0,1,50.2,Pass
1.9,81.1,53.9,66.0,4.5,1,2,1,39.1,Fail
3.9,87.3,53.3,62.2,8.9,1,1,1,46.3,Pass
6.1,93.0,72.8,55.2,5.0,0,1,1,60.0,Pass
2.0,76.5,61.5,76.5,6.5,0,0,1,47.6,Pass
2.2,74.5,62.3,58.0,5.8,1,2,1,42.2,Pass
5.1,85.3,74.0,65.0,6.0,0,1,1,53.2,Pass
3.6,87.3,62.9,74.1,7.7,0,2,1,53.8,Pass
5.3,74.8,60.8,60.0,8.7,0,1,1,57.0,Pass
4.0,89.5,72.1,85.7,8.3,1,2,1,59.4,Pass
5.4,91.8,75.0,91.1,5.9,1,1,0,71.5,Pass
1.9,95.5,62.8,71.8,6.8,1,2,1,48.8,Pass
4.0,100.0,66.2,73.4,5.3,0,1,1,58.4,Pass
3.6,69.6,53.3,88.1,5.0,0,1,1,47.6,Pass
1.6,80.2,52.1,69.3,4.8,1,2,1,48.0,Pass
0.9,80.1,76.5,68.3,5.8,1,1,1,44.0,Pass
5.4,78.8,71.7,97.9,6.9,1,1,1,71.1,Pass
3.3,72.2,71.8,93.3,3.6,1,2,1,46.0,Pass
2.0,62.2,69.2,89.0,6.4,0,1,1,56.3,Pass
3.8,81.1,65.7,93.9,8.8,1,2,1,58.1,Pass
6.3,70.8,75.4,50.3,8.2,1,1,1,58.3,Pass
0.0,81.0,79.0,100.0,5.6,1,2,1,58.6,Pass
1.0,70.5,78.7,85.9,4.4,1,0,1,52.5,Pass
2.2,66.8,63.5,95.2,7.2,0,1,0,45.2,Pass
6.9,82.8,85.8,85.8,3.0,1,2,1,69.4,Pass
4.6,81.8,68.4,80.7,8.2,0,1,1,66.3,Pass
5.5,87.0,74.5,75.9,6.2,0,1,1,55.8,Pass
1.7,100.0,69.2,85.5,9.2,1,1,1,66.7,Pass
1.8,83.3,68.7,75.3,3.9,1,1,1,51.5,Pass
4.9,85.8,54.0,93.0,7.9,1,1,1,55.7,Pass
4.1,67.1,75.5,56.2,6.3,0,0,1,44.9,Pass
5.1,64.6,100.0,71.9,6.0,0,2,1,58.3,Pass
3.6,99.0,59.4,100.0,4.4,0,1,1,49.0,Pass
4.6,68.9,66.1,70.6,7.4,1,1,0,49.9,Pass
4.3,67.5,58.3,76.4,7.5,1,1,1,49.5,Pass
5.6,79.5,57.7,66.8,9.2,1,0,0,48.8,Pass
5.6,78.9,88.2,85.0,8.0,0,0,0,66.1,Pass
0.8,69.2,54.9,69.0,5.6,1,2,1,40.5,Pass
0.0,76.3,57.9,77.2,5.0,1,1,1,39.3,Fail
6.0,94.8,41.2,92.7,4.4,0,0,1,56.2,Pass
6.4,70.3,53.6,69.5,8.7,1,2,0,56.5,Pass
2.0,63.3,39.4,91.8,5.3,1,1,1,43.0,Pass
0.3,91.3,74.5,92.3,8.7,0,0,0,48.1,Pass
4.2,85.9,100.0,95.8,7.3,0,1,0,65.7,Pass
5.9,72.6,59.5,82.1,7.0,1,1,1,56.1,Pass
7.6,61.0,40.0,100.0,6.0,1,1,1,50.5,Pass
5.0,71.1,78.5,95.8,7.5,1,2,1,59.3,Pass
3.3,79.3,54.1,84.9,6.5,1,1,1,54.1,Pass
2.2,94.0,84.5,66.9,5.9,0,1,1,57.8,Pass
4.0,67.6,60.8,78.5,7.5,1,1,1,49.8,Pass
3.4,79.0,55.5,100.0,6.3,1,2,1,58.0,Pass
2.0,88.1,62.3,100.0,5.3,0,2,1,49.2,Pass
8.1,51.4,76.4,100.0,7.4,1,2,1,58.7,Pass
7.6,92.4,61.6,91.8,6.4,0,1,1,64.6,Pass
6.3,65.8,57.5,61.2,7.2,0,2,1,60.0,Pass
2.2,84.0,62.0,87.3,5.8,0,1,0,51.7,Pass
5.7,83.0,45.9,61.4,4.7,1,1,1,50.5,Pass
5.3,93.0,71.0,57.7,9.1,0,0,0,65.1,Pass
4.9,86.6,38.2,83.6,8.8,0,2,1,52.4,Pass
6.5,51.5,58.3,87.8,7.8,1,1,1,65.2,Pass
5.3,70.6,76.4,93.6,5.9,0,1,1,56.5,Pass
5.5,81.7,69.5,87.5,6.0,1,1,1,55.0,Pass
5.3,77.7,73.9,88.0,8.6,1,0,1,58.9,Pass
4.7,85.7,64.0,65.2,6.0,0,2,1,53.7,Pass
0.4,89.5,82.5,78.4,5.6,0,2,1,47.8,Pass
4.2,87.3,78.9,57.4,9.3,1,1,0,69.3,Pass
2.9,77.4,71.7,49.9,6.4,0,1,1,49.4,Pass
1.4,57.8,78.9,91.1,9.2,0,1,0,50.6,Pass
7.4,74.5,76.3,68.7,4.4,1,2,1,59.1,Pass
7.5,85.0,58.4,93.1,7.3,1,0,0,60.4,Pass
6.7,66.9,44.8,96.6,9.6,1,1,1,62.1,Pass
4.5,87.6,71.3,70.7,6.5,1,1,0,48.5,Pass
6.7,90.9,73.2,88.9,6.1,1,1,1,60.1,Pass
4.0,81.5,81.4,70.1,4.7,1,1,1,55.0,Pass
4.4,43.2,51.0,52.3,8.1,1,0,1,46.9,Pass
1.8,64.7,51.4,81.8,5.3,1,2,1,42.2,Pass
4.8,100.0,71.9,72.9,6.4,1,0,1,62.4,Pass
4.1,73.4,63.9,73.4,4.6,0,0,1,50.8,Pass
1.4,56.2,36.7,100.0,8.8,0,1,1,47.4,Pass
3.9,94.8,70.6,57.1,8.2,0,1,1,47.3,Pass
3.8,80.2,37.2,85.7,6.5,0,0,1,52.1,Pass
7.6,93.3,50.8,65.1,4.8,0,1,1,58.6,Pass
5.8,83.3,85.3,93.6,8.8,0,2,1,70.7,Pass
4.0,85.5,92.4,84.5,6.0,1,0,1,57.1,Pass
4.5,84.4,46.8,85.7,4.8,0,2,0,53.4,Pass
4.1,88.4,60.1,65.8,3.9,0,1,0,51.5,Pass
3.6,100.0,65.6,68.5,5.5,0,1,0,50.4,Pass
1.8,91.7,91.7,93.9,4.3,0,0,0,51.4,Pass
3.7,61.0,57.6,100.0,5.6,1,2,1,48.6,Pass
2.5,85.4,57.8,87.2,7.6,0,2,1,53.1,Pass
1.5,93.7,88.2,66.5,5.9,0,0,1,49.6,Pass
5.0,94.4,59.4,85.1,7.0,1,0,1,57.5,Pass
4.8,74.9,75.8,100.0,5.4,0,1,1,50.2,Pass
0.4,94.0,42.8,81.5,6.6,0,0,1,42.5,Pass
3.8,91.1,62.4,100.0,9.4,1,2,0,65.0,Pass
6.0,100.0,40.1,68.9,6.0,1,1,1,60.1,Pass
6.1,71.0,49.2,79.4,7.1,1,1,1,53.7,Pass
6.1,73.9,77.6,89.3,4.2,1,2,1,62.9,Pass
4.1,76.3,64.3,86.0,8.8,1,2,1,51.6,Pass
2.3,74.1,60.2,68.5,5.8,0,2,1,54.9,Pass
1.8,69.3,53.8,67.9,8.1,1,1,1,53.9,Pass
4.7,46.8,61.7,94.8,6.3,1,1,1,51.1,Pass
4.8,74.8,69.5,97.9,7.4,0,1,0,71.1,Pass
6.6,84.4,79.7,100.0,7.5,1,1,0,63.7,Pass
6.2,74.1,25.6,100.0,5.8,0,1,0,46.1,Pass
3.7,100.0,52.5,82.0,8.1,1,0,1,52.4,Pass
1.5,80.2,67.4,75.3,5.4,1,1,1,47.3,Pass
3.4,95.5,63.5,100.0,7.7,0,1,1,70.6,Pass
4.4,83.1,71.1,90.7,5.9,0,1,0,56.7,Pass
3.6,89.9,69.0,65.3,7.0,1,0,1,49.6,Pass
2.8,83.4,60.4,64.5,5.8,1,1,1,44.7,Pass
4.5,96.4,57.1,87.4,6.6,0,1,1,64.1,Pass
3.0,80.7,61.3,77.3,4.9,0,2,1,56.0,Pass
2.7,86.0,82.2,79.6,6.9,1,2,1,54.6,Pass
4.6,84.4,54.0,96.1,6.6,0,1,1,47.3,Pass
3.2,76.5,64.1,91.4,5.7,1,0,1,47.0,Pass
4.5,84.9,67.8,99.9,6.4,1,1,1,68.8,Pass
